node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes
CPAR1,NA,NA,NA,NA,0.3622291021671827,NA,NA,323.0,
CPAR2,NA,NA,NA,NA,0.42120343839541546,NA,NA,349.0,
CPAR3,NA,NA,NA,NA,0.4534313725490196,NA,NA,408.0,
CSEL1,NA,NA,NA,NA,0.2531017369727047,NA,NA,403.0,
CSEL2,NA,NA,NA,NA,0.21727019498607242,NA,NA,359.0,
CSEL3,NA,NA,NA,NA,0.2956730769230769,NA,NA,416.0,
FABR1,NA,NA,NA,NA,0.33548387096774196,NA,NA,310.0,
FABR2,NA,NA,NA,NA,0.4025,NA,NA,400.0,
FABR3,NA,NA,NA,NA,0.31545741324921134,NA,NA,317.0,
FADE1,NA,NA,NA,NA,0.3494897959183674,NA,NA,392.0,
FADE2,NA,NA,NA,NA,0.3927765237020316,NA,NA,443.0,
FADE3,NA,NA,NA,NA,0.3746958637469586,NA,NA,411.0,
FAFR1,NA,NA,NA,NA,0.3356164383561644,NA,NA,438.0,
FAFR2,NA,NA,NA,NA,0.31952662721893493,NA,NA,338.0,
FAFR3,NA,NA,NA,NA,0.3090909090909091,NA,NA,385.0,
FAIM1,NA,NA,NA,NA,0.43137254901960786,NA,NA,408.0,
FAIM2,NA,NA,NA,NA,0.41388888888888886,NA,NA,360.0,
FAIM3,NA,NA,NA,NA,0.39452054794520547,NA,NA,365.0,
FAPA1,NA,NA,NA,NA,0.38084632516703787,NA,NA,449.0,
FAPA2,NA,NA,NA,NA,0.31926121372031663,NA,NA,379.0,
FAPA3,NA,NA,NA,NA,0.33161953727506427,NA,NA,389.0,
FAPE1,NA,NA,NA,NA,0.31519274376417233,NA,NA,441.0,
FAPE2,NA,NA,NA,NA,0.26216216216216215,NA,NA,370.0,
FAPE3,NA,NA,NA,NA,0.3325062034739454,NA,NA,403.0,
FAPU1,NA,NA,NA,NA,0.3287292817679558,NA,NA,362.0,
FAPU2,NA,NA,NA,NA,0.3287037037037037,NA,NA,432.0,
FAPU3,NA,NA,NA,NA,0.31741573033707865,NA,NA,356.0,
FAVI1,NA,NA,NA,NA,0.2852852852852853,NA,NA,333.0,
FDEN1,NA,NA,NA,NA,0.30097087378640774,NA,NA,412.0,
