P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
CAOV	CACA	FAIM	6.120085861214468	4.69441374661983e-10	0.9873796992025842	1094063928.671875	19284339.015625	4914107.640625	1350714.890625	185040.53125	11428590.640625	1138945.640625	306575.53125	17707224.140625	103514525.390625	4521407.28125	385883.15625	617824.90625	1158680.40625	68860.15625
CAOV	CACA	FAPA	7.933105272819292	1.1102230246251565e-15	0.9838979468996211	1111672717.5625	18643246.9375	4915423.6875	1397892.1875	164445.375	11561926.1875	1122016.9375	287860.625	17979065.5625	105136135.5625	4539389.875	383796.5	621601.5	1174255.25	68574.25
CAOV	CACA	FAPE	7.722525669593508	5.773159728050814e-15	0.984469199585267	1105022636.46875	18049398.53125	4882026.78125	1358943.78125	157256.1875	11746774.28125	1093933.90625	264838.3125	17892428.03125	104419846.53125	4441706.6875	387968.4375	608736.5625	1165953.4375	69053.0625
CAOV	CACA	FAPU	6.535049581582835	3.195421705015633e-11	0.9866645014574865	1107856585.25	18324949.6875	4966281.0625	1355362.125	164254.875	11739857.4375	1129501.75	264969.375	17840419.125	105017948.5625	4405171.625	386504.375	629200.875	1182105.125	66957.75
CAOV	CACA	FAVI	7.824744873486349	2.55351295663786e-15	0.9842268962001126	355615105.1875	5200542.125	1607263.0625	416923.75	48534.375	3672665.875	331300.1875	75825.125	5674130.25	33307219.6875	1334133.5	123848.125	198166.375	364642.25	19989.125
CAOV	CACA	FDEN	6.961736059660144	1.691202733411501e-12	0.98577165903928	989809396.609375	16889480.078125	4416700.203125	1122595.578125	137737.03125	9736441.828125	905265.828125	216184.90625	15962362.703125	92067835.828125	3957442.78125	343821.40625	540328.53125	961436.90625	59614.78125
CAOV	CACA	PAXI	8.835822205697163	0.0	0.9882899222174203	998330695.484375	23052055.328125	4588495.890625	1077587.015625	171952.78125	10913291.578125	811019.203125	326420.65625	23308417.390625	86824977.265625	5478404.03125	495398.90625	507704.90625	978635.40625	75799.15625
CAOV	CACA	PCOR	6.767291176664873	6.598499524557155e-12	0.9908503672146046	1040456932.78125	21661357.84375	4667249.34375	1147447.96875	183843.3125	10687852.84375	933042.96875	287138.5625	24151818.84375	90485426.09375	5508502.1875	496502.1875	527083.0625	985123.3125	70162.6875
CAOV	CACA	PEEX	6.413919176972692	7.124456580243077e-11	0.9910630104428466	985633770.0625	20215582.1875	4464618.125	1091656.625	164857.75	10325393.75	893163.25	293279.75	22904987.3125	86069968.3125	5219095.875	480524.5	500869.5	957406.25	72465.75
CAOV	CACA	PINF	8.012457039449286	5.551115123125783e-16	0.9892892043553957	1025714681.203125	22071813.234375	4748569.546875	1118458.046875	182460.21875	11320464.109375	870355.234375	310249.46875	23786060.296875	89003356.296875	5442976.71875	522014.09375	528925.21875	1015376.09375	76121.21875
CAPU	CACA	CAPY	4.813832271077593	7.412855813626607e-07	0.9830280353642988	1166853079.953125	20325003.484375	5180971.234375	1351686.234375	172047.59375	5588589.484375	1183946.484375	173240.09375	10899549.859375	119325157.234375	3836741.21875	202728.71875	682814.09375	796100.09375	47303.21875
