triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
PCOR1_PBON1_PINT1,PCOR1,0.0,0.5986221607976179,0.77798161379049,0.22201838620950995,0.006698064760344829,0.006698064760344829,-3643.252648465202,-3711.3693136999523,464
PCOR1_PBON1_PINT1,PBON1,0.0,0.5633106298387316,0.7499053630271488,0.2500946369728513,0.004695934817983651,0.004695934817983651,-3141.8198779357635,-3195.111266581743,367
PCOR1_PBON1_PINT1,PINT1,0.0,0.4547131918620103,0.8019969337653986,0.1980030662346013,0.0060162318775,0.0060162318775,-3098.5080324485502,-3153.059264347863,384
PCOR1_PBON1_PESE1,PCOR1,0.0,0.8220230169488111,0.7268836484379227,0.27311635156207725,0.005406065168947368,0.005406065168947368,-1564.8668011011778,-1598.441810910941,190
PCOR1_PBON1_PESE1,PBON1,0.0,0.8144205199667885,0.7138284008997473,0.2861715991002527,0.005428141717475729,0.005428141717475729,-2552.693400854247,-2599.8525676913905,309
PCOR1_PBON1_PESE1,PESE1,0.0,0.4937714815883935,0.6779410802653633,0.32205891973463685,0.006586083079441341,0.006586083079441341,-5704.735638714832,-5754.070879988143,716
PCOR1_PBON1_PEEX1,PCOR1,0.0,0.8958385417457752,0.7074971263294448,0.2925028736705552,0.004992361671875,0.004992361671875,-1613.5807184966277,-1645.8834455216427,192
PCOR1_PBON1_PEEX1,PBON1,0.0,0.9671327546517725,0.6780728512575662,0.3219271487424337,0.004657344070227273,0.004657344070227273,-2643.882622413799,-2685.76482038313,308
PCOR1_PBON1_PEEX1,PEEX1,0.0,0.535110728692636,0.668874501178918,0.331125498821082,0.0062987524250069935,0.0062987524250069935,-5760.645700559468,-5809.814998406416,715
PCOR1_PBON1_PAXI1,PCOR1,0.0,0.7522535942771105,0.6746608646236855,0.32533913537631465,0.0044278286276595745,0.0044278286276595745,-1630.3922799997779,-1656.625641575999,188
PCOR1_PBON1_PAXI1,PBON1,0.0,0.9960517387946694,0.6798722677513542,0.3201277322486457,0.0045565906099337755,0.0045565906099337755,-2604.944943770464,-2646.562660433895,302
PCOR1_PBON1_PAXI1,PAXI1,0.0,0.47883918731328773,0.6804591000959935,0.31954089990400647,0.0068095303943172415,0.0068095303943172415,-5728.54875817474,-5778.090401545454,725
